epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.03,,0.01,,
0.0,10000.0,70.0,0.0,10000.0,142.85715,100.0,100.0,,0.03,,0.0055,,
0.0,20000.0,109.0,0.0,20000.0,183.48624,150.0,125.0,,0.03,,0.001,,
0.0,30000.0,147.0,0.0,30000.0,204.08163,342.85715,197.61906,,0.03,,0.001,,
0.0,40000.0,269.0,0.0,40000.0,148.69888,418.18182,252.75975,,0.03,,0.001,,
0.0,50000.0,278.0,0.0,50000.0,179.85611,523.0769,306.82318,,0.03,,0.001,,
0.0,60000.0,288.0,0.0,60000.0,208.33333,392.30768,321.0706,,0.03,,0.001,,
0.0,70000.0,298.0,0.0,70000.0,234.89932,369.23077,327.95062,,0.03,,0.001,,
0.0,80000.0,307.0,0.0,80000.0,260.58633,557.1429,356.59964,,0.03,,0.001,,
0.0,90000.0,317.0,0.0,90000.0,283.91168,866.6667,413.27377,,0.03,,0.001,,
0.0,100000.0,327.0,0.0,100000.0,305.8104,900.0,461.94638,,0.03,,0.001,,
